Module,SubTopic,Difficulty,Question,OptionA,OptionB,OptionC,Answer,Explanation
Mock,Exam 1,Hard (Exam Level),Standard VI(B): You want to buy a stock that you just recommended to clients. You must?,Wait until clients have had adequate opportunity to act,Buy immediately,Buy before the report is released,OptionA,Correct - Clients have priority; you cannot front-run or trade alongside until they act
Mock,Exam 1,Hard (Exam Level),Standard VI(C): A real estate agent pays you $500 for every client you refer. You must?,Disclose this fee to the client before the referral,Keep it as a private bonus,Tell the SEC,OptionA,Correct - Clients must know you are being paid to send them away
Mock,Exam 1,Hard (Exam Level),Standard VII(A): Discussing the specific formulas that appeared on the exam is?,A violation of Conduct,Allowed,Helpful,OptionA,Correct - Specific exam content is confidential
Mock,Exam 1,Hard (Exam Level),Standard VII(B): On a business card a candidate writes 'John Doe - CFA Level 2'. This is?,A violation,Correct,Allowed,OptionA,Correct - There is no such designation as 'CFA Level 2'
Mock,Exam 1,Hard (Exam Level),GIPS: A firm has 3 years of history. To claim compliance it must present?,All 3 years,5 years (using dummy data),1 year,OptionA,Correct - Firms with <5 years must show all history since inception
Mock,Exam 1,Hard (Exam Level),GIPS: Who is responsible for the claim of compliance?,The Firm,The CFA Institute,The Verifier,OptionA,Correct - Firms self-certify their compliance
Mock,Exam 1,Hard (Exam Level),Standard I(B): An issuer pays for an analyst's hotel in Monaco (Luxury). Accepting this is?,A violation of Independence,Allowed if disclosed,Standard,OptionA,Correct - Luxury travel creates a sense of obligation; pay your own way
Mock,Exam 1,Hard (Exam Level),Standard II(A): A mosaic of public information leads to a conclusion that is material. Trading on this is?,Allowed (Mosaic Theory),Insider Trading,Market Manipulation,OptionA,Correct - Clever analysis of public data is the job; it is not illegal
Mock,Exam 1,Hard (Exam Level),Standard III(A): Voting proxies is?,Part of the duty of loyalty to maximize value,Optional,Administrative only,OptionA,Correct - Proxies are assets; they must be managed with care
Mock,Exam 1,Hard (Exam Level),Standard III(C): A firm uses a 'Model Portfolio' to show performance but doesn't disclose it is hypothetical. This is?,Misrepresentation,Marketing,Standard,OptionA,Correct - Hypothetical returns must be clearly labeled
Mock,Exam 1,Hard (Exam Level),Standard IV(B): Accepting a bottle of wine from a client for past good performance?,Requires notification to employer,Requires written consent,Is forbidden,OptionA,Correct - Gifts for past performance require notification (not consent)
Mock,Exam 1,Hard (Exam Level),Standard V(A): Using a 'Black Box' model without understanding the risks is?,A violation of Diligence,Efficient,Allowed,OptionA,Correct - You must understand the tool's limitations
Mock,Exam 1,Hard (Exam Level),Standard VI(B): Trading in a family member's account (Beneficial Owner) should happen?,After clients (Last),With clients,Before clients,OptionA,Correct - Beneficial accounts are treated as 'Self' and come last
Mock,Exam 1,Hard (Exam Level),Standard VII(B): Stating 'The CFA program made me a better investor' is?,Allowed (Fact/Opinion),Prohibited,Promissory,OptionA,Correct - You can claim competence; you cannot claim guaranteed results
Mock,Exam 1,Hard (Exam Level),GIPS: Can a firm exclude a poor performing portfolio from a composite?,No - that is cherry picking,Yes if it was small,Yes if disclosed,OptionA,Correct - All fee-paying discretionary portfolios must be included
Mock,Exam 1,Hard (Exam Level),Standard I(A): A member works in a country where bribing officials is legal. They should?,Refuse to bribe (Follow Standard I),Bribe because it is legal locally,Resign,OptionA,Correct - The Code forbids professional misconduct/dishonesty even if local law permits it
Mock,Exam 1,Hard (Exam Level),Standard III(B): A client wants to change their IPS to 'Aggressive'. The member believes this is a mistake. They should?,Educate the client - then update the IPS if they insist,Refuse,Do it silently,OptionA,Correct - You advise; the client decides. If they understand the risk update the mandate
Mock,Exam 1,Hard (Exam Level),Standard IV(A): A member does consulting work on weekends that competes with their firm. They have no permission. This is?,A violation of Loyalty,Allowed,Personal time,OptionA,Correct - Competing with your employer requires consent
Mock,Exam 1,Hard (Exam Level),Standard V(C): A computer crash destroys 5 years of records. No backup exists. This is?,A violation of Record Retention,An accident,IT problem,OptionA,Correct - The member is responsible for ensuring records are backed up
